year,male,female,total,icd version,code,source
2008,100,16,116,10,x42,http://www.mohw.gov.tw/CHT/DOS/DisplayStatisticFile.aspx?d=20248&s=1
2009,102,13,115,10,x42,http://www.mohw.gov.tw/CHT/DOS/DisplayStatisticFile.aspx?d=19632&s=1
2010,86,15,101,10,x42,http://www.mohw.gov.tw/CHT/DOS/DisplayStatisticFile.aspx?d=14590&s=1
2011,78,11,89,10,x42,http://www.mohw.gov.tw/CHT/DOS/DisplayStatisticFile.aspx?d=13091&s=1
2012,105,17,122,10,x42,http://www.mohw.gov.tw/CHT/DOS/DisplayStatisticFile.aspx?d=13718&s=1
2013,131,10,141,10,x42,http://www.mohw.gov.tw/CHT/DOS/DisplayStatisticFile.aspx?d=46319&s=1
2014,144,20,164,10,x42,http://www.mohw.gov.tw/CHT/DOS/DisplayStatisticFile.aspx?d=51359
2015,171,32,203,10,x42,http://www.mohw.gov.tw/CHT/DOS/DisplayStatisticFile.aspx?d=56398
